,time,aYSmooth,ThrustAccelerationIn/s^2,Thrust Force lb*ft/s^2
0,0.002,1412.476077,-1026.387517,-0.00234433
1,0.007333333,-78043.66165,78429.75021,0.179138184
2,0.008,-33811.14248,34197.23104,0.078108496
3,0.009333333,-8229.731662,8615.820222,0.019679042
4,0.011333333,-115792.9394,116179.0279,0.265359764
5,0.012,-28571.11422,28957.20278,0.066139962
6,0.013333333,-27544.94147,27931.03003,0.063796123
7,0.015333333,-7551.209713,7937.298273,0.018129258
8,0.022,-9862.23278,10248.32134,0.023407771
9,0.026666667,-63106.89448,63492.98304,0.145021725
10,0.027333333,-28989.22686,29375.31542,0.067094956
11,0.028666667,-53374.66694,53760.7555,0.122792742
12,0.029333333,-48786.15203,49172.24059,0.112312303
13,0.03,-45712.94635,46099.03491,0.10529292
14,0.030666667,-41293.76766,41679.85622,0.095199254
15,0.031333333,-38117.51904,38503.6076,0.087944515
16,0.032,-35970.87552,36356.96408,0.083041454
17,0.032666667,-33600.47312,33986.56168,0.077627315
18,0.033333333,-32129.87592,32515.96448,0.074268384
19,0.034,-6023.194397,6409.282957,0.014639181
20,0.037333333,-14517.38448,14903.47304,0.034040413
21,0.038666667,-13856.12208,14242.21064,0.032530051
22,0.04,72986.58211,-72600.49355,-0.165823817
23,0.040666667,-25186.34517,25572.43373,0.05840895
24,0.041333333,-762.1381292,1148.226689,0.002622618
25,0.044666667,-2518.988225,2905.076785,0.006635367
26,0.045333333,-1095.672037,1481.760597,0.003384429
27,0.046,144.3105654,241.7779946,0.000552235
28,0.046666667,1294.727627,-908.6390668,-0.002075385
29,0.047333333,-97034.48972,97420.57828,0.222514357
30,0.048,3253.876166,-2867.787606,-0.006550196
31,0.048666667,-95684.87898,96070.96754,0.219431766
32,0.049333333,3443.760739,-3057.672179,-0.006983904
33,0.05,3132.244097,-2746.155537,-0.006272382
34,0.050666667,2782.079967,-2395.991407,-0.005472586
35,0.051333333,2646.492793,-2260.404233,-0.005162897
36,0.052,2514.138197,-2128.049637,-0.004860591
37,0.052666667,2174.450242,-1788.361682,-0.004084724
38,0.053333333,1895.637075,-1509.548515,-0.003447898
39,0.054,1546.685335,-1160.596775,-0.002650872
40,0.054666667,1449.918004,-1063.829444,-0.002429849
41,0.055333333,1441.359629,-1055.271069,-0.002410301
42,0.056,1222.543722,-836.4551615,-0.001910513
43,0.056666667,1117.748674,-731.6601136,-0.001671155
44,0.057333333,1242.908122,-856.8195618,-0.001957027
45,0.058,1089.128647,-703.0400874,-0.001605785
46,0.058666667,996.5751175,-610.4865575,-0.001394387
47,0.059333333,925.8240652,-539.7355052,-0.001232788
48,0.06,795.9393824,-409.8508224,-0.000936123
49,0.060666667,716.7525641,-330.6640041,-0.000755256
50,0.061333333,659.7369966,-273.6484366,-0.000625029
51,0.062,674.5675036,-288.4789436,-0.000658903
52,0.062666667,510.4276055,-124.3390455,-0.000283998
53,0.063333333,505.8325869,-119.7440269,-0.000273502
54,0.064,540.68448,-154.59592,-0.000353106
55,0.064666667,419.5681999,-33.4796399,-7.65E-05
56,0.065333333,479.0830908,-92.99453078,-0.000212405
57,0.066,254.1104037,131.9781563,0.000301446
58,0.066666667,333.2346981,52.85386186,0.000120721
59,0.067333333,207.6093763,178.4791837,0.000407657
60,0.068,156.7337831,229.3547769,0.00052386
61,0.068666667,201.0583115,185.0302485,0.00042262
62,0.069333333,175.5488436,210.5397164,0.000480885
63,0.07,181.9587351,204.1298249,0.000466245
64,0.070666667,153.6904188,232.3981412,0.000530811
65,0.071333333,16.99380818,369.0947518,0.000843034
66,0.072,184.5968547,201.4917053,0.000460219
67,0.072666667,235.4446116,150.6439484,0.00034408
68,0.073333333,64.64001742,321.4485426,0.000734207
69,0.074,59.46002895,326.628531,0.000746039
70,0.074666667,67.55030056,318.5382594,0.00072756
71,0.075333333,115.5079127,270.5806473,0.000618022
72,0.076,53.87329532,332.2152647,0.000758799
73,0.076666667,148.360574,237.727986,0.000542985
74,0.077333333,65.90915635,320.1794037,0.000731309
75,0.078,175.0213431,211.0672169,0.00048209
76,0.078666667,53.83579356,332.2527664,0.000758885
77,0.079333333,110.1399463,275.9486137,0.000630283
78,0.08,56.1175527,329.9710073,0.000753673
79,0.080666667,133.9369599,252.1516001,0.000575929
80,0.081333333,114.6977291,271.3908309,0.000619873
81,0.082,107.1241755,278.9643845,0.000637171
82,0.082666667,67.03350444,319.0550556,0.000728741
83,0.083333333,94.82151948,291.2670405,0.000665271
84,0.084,122.5672575,263.5213025,0.000601898
85,0.084666667,81.27190966,304.8166503,0.000696219
86,0.085333333,-22.34112735,408.4296873,0.000932878
87,0.086,94.6738335,291.4147265,0.000665608
88,0.086666667,119.6001381,266.4884219,0.000608675
89,0.087333333,102.8937937,283.1947663,0.000646834
90,0.088,87.45237886,298.6361811,0.000682103
91,0.088666667,107.5461313,278.5424287,0.000636207
92,0.089333333,88.15186091,297.9366991,0.000680505
93,0.09,66.00121288,320.0873471,0.000731098
94,0.090666667,21.07289131,365.0156687,0.000833717
95,0.091333333,13.18341056,372.9051494,0.000851737
96,0.092,54.97154791,331.1170121,0.000756291
97,0.092666667,133.8863473,252.2022127,0.000576045
98,0.093333333,32.64800945,353.4405506,0.000807279
99,0.094,28.2186726,357.8698874,0.000817396
100,0.094666667,67.36614812,318.7224119,0.000727981
101,0.095333333,14.8126287,371.2759313,0.000848016
102,0.096,18.90075615,367.1878038,0.000838679
103,0.096666667,-24.99819533,411.0867553,0.000938946
104,0.097333333,75.72821808,310.3603419,0.000708881
105,0.098,83.91738873,302.1711713,0.000690177
106,0.098666667,86.28997464,299.7985854,0.000684758
107,0.099333333,66.66797795,319.420582,0.000729575
108,0.1,18.55823196,367.530328,0.000839461
109,0.100666667,23.4505799,362.6379801,0.000828287
110,0.101333333,9.616311966,376.472248,0.000859885
111,0.102,100.4599984,285.6285616,0.000652393
112,0.102666667,65.6446142,320.4439458,0.000731913
113,0.103333333,46.23153643,339.8570236,0.000776254
114,0.104,102.7128517,283.3757083,0.000647247
115,0.104666667,111.4774561,274.6111039,0.000627228
116,0.105333333,68.05683348,318.0317265,0.000726403
117,0.106,54.42516376,331.6633962,0.000757539
118,0.106666667,42.34051598,343.748044,0.000785141
119,0.107333333,65.98298712,320.1055729,0.00073114
120,0.108,53.64249545,332.4460646,0.000759326
121,0.108666667,80.13330098,305.955259,0.00069882
122,0.109333333,77.29346392,308.7950961,0.000705306
123,0.11,95.19227531,290.8962847,0.000664424
124,0.110666667,16.72954039,369.3590196,0.000843638
125,0.111333333,61.99332386,324.0952361,0.000740253
126,0.112,70.26592177,315.8226382,0.000721358
127,0.112666667,50.33525719,335.7533028,0.00076688
128,0.113333333,63.04601324,323.0425468,0.000737848
129,0.114,16.478305,369.610255,0.000844212
130,0.114666667,46.7122243,339.3763357,0.000775156
131,0.115333333,140.0736375,246.0149225,0.000561913
132,0.116,46.43890766,339.6496523,0.00077578
133,0.116666667,28.74477736,357.3437826,0.000816194
134,0.117333333,-5.264991909,391.3535519,0.000893875
135,0.118,114.0928161,271.9957439,0.000621254
136,0.118666667,25.02543631,361.0631237,0.00082469
137,0.119333333,26.83922246,359.2493375,0.000820547
138,0.12,21.45745434,364.6311057,0.000832839
139,0.120666667,126.5123111,259.5762489,0.000592887
140,0.121333333,-26.38819131,412.4767513,0.000942121
141,0.122,51.55558634,334.5329737,0.000764093
142,0.122666667,105.9740851,280.1144749,0.000639798
143,0.123333333,42.65794767,343.4306123,0.000784416
144,0.124,-65.9053332,451.9938932,0.001032381
145,0.124666667,40.22288891,345.8656711,0.000789978
146,0.125333333,91.24360981,294.8449502,0.000673443
147,0.126,38.83806837,347.2504916,0.000793141
148,0.126666667,-7.399871496,393.4884315,0.000898751
149,0.127333333,7.130886619,378.9576734,0.000865562
150,0.128,25.17421825,360.9143417,0.00082435
151,0.128666667,39.57322418,346.5153358,0.000791462
152,0.129333333,57.36568828,328.7228717,0.000750822
153,0.13,33.48353953,352.6050205,0.000805371
154,0.130666667,23.28586184,362.8026982,0.000828663
155,0.131333333,42.11947722,343.9690828,0.000785646
156,0.132,22.80502575,363.2835342,0.000829761
157,0.132666667,50.86992115,335.2186388,0.000765659
158,0.133333333,37.17007028,348.9184897,0.00079695
159,0.134,27.22084062,358.8677194,0.000819675
160,0.134666667,50.95919419,335.1293658,0.000765455
161,0.135333333,3.398641914,382.6899181,0.000874086
162,0.136,40.43291348,345.6556465,0.000789498
163,0.136666667,67.18818233,318.9003777,0.000728387
164,0.137333333,34.51413755,351.5744224,0.000803017
165,0.138,46.91651896,339.172041,0.000774689
166,0.138666667,-28.27781686,414.3663769,0.000946437
167,0.139333333,25.81051374,360.2780463,0.000822896
168,0.14,38.4134075,347.6751525,0.000794111
169,0.140666667,9.067235272,377.0213247,0.000861139
170,0.141333333,-13.17765524,399.2662152,0.000911948
171,0.142,55.09642286,330.9921371,0.000756006
172,0.142666667,59.54340373,326.5451563,0.000745848
173,0.143333333,25.76793096,360.320629,0.000822994
174,0.144,49.54729437,336.5412656,0.00076868
175,0.144666667,44.14767326,341.9408867,0.000781013
176,0.145333333,67.81951223,318.2690478,0.000726945
177,0.146,104.1559089,281.9326511,0.000643951
178,0.146666667,42.43972683,343.6488332,0.000784914
179,0.147333333,20.41176398,365.676796,0.000835227
180,0.148,39.17863542,346.9099246,0.000792363
181,0.148666667,26.25856743,359.8299926,0.000821873
182,0.149333333,27.67372219,358.4148378,0.000818641
183,0.15,48.72724748,337.3613125,0.000770553
184,0.150666667,37.48489759,348.6036624,0.000796231
185,0.151333333,33.62429216,352.4642678,0.000805049
186,0.152,69.66837903,316.420181,0.000722722
187,0.152666667,7.751094396,378.3374656,0.000864145
188,0.153333333,14.37297059,371.7155894,0.00084902
189,0.154,6.878351998,379.210208,0.000866139
190,0.154666667,32.5297126,353.5588474,0.000807549
191,0.155333333,-0.792448911,386.8810089,0.000883659
192,0.156,68.92726191,317.1612981,0.000724415
193,0.156666667,56.72879269,329.3597673,0.000752277
194,0.157333333,-10.37161587,396.4601759,0.000905538
195,0.158,16.65108077,369.4374792,0.000843817
196,0.158666667,22.83175099,363.256809,0.0008297
197,0.159333333,23.14837611,362.9401839,0.000828977
198,0.16,26.5617796,359.5267804,0.00082118
199,0.160666667,26.56948012,359.5190799,0.000821163
200,0.161333333,49.43230786,336.6562521,0.000768943
201,0.162,33.1670905,352.9214695,0.000806093
202,0.162666667,39.72896544,346.3595946,0.000791106
203,0.163333333,54.73097401,331.357586,0.00075684
204,0.164,34.36452809,351.7240319,0.000803358
205,0.164666667,24.63354662,361.4550134,0.000825585
206,0.165333333,29.457532,356.631028,0.000814566
207,0.166,14.19071323,371.8978468,0.000849437
208,0.166666667,45.83425249,340.2543075,0.000777161
209,0.167333333,20.69786188,365.3906981,0.000834574
210,0.168,18.37388882,367.7146712,0.000839882
211,0.168666667,13.62961753,372.4589425,0.000850718
212,0.169333333,29.53876155,356.5497985,0.000814381
213,0.17,30.30999198,355.778568,0.000812619
214,0.170666667,25.17933202,360.909228,0.000824338
215,0.171333333,43.16112932,342.9274307,0.000783267
216,0.172,3.92087454,382.1676855,0.000872894
217,0.172666667,4.912139093,381.1764209,0.000870629
218,0.173333333,29.0792272,357.0093328,0.00081543
219,0.174,16.29018701,369.798373,0.000844641
220,0.174666667,4.236848859,381.8517111,0.000872172
221,0.175333333,44.58860706,341.4999529,0.000780006
222,0.176,2.16717314,383.9213869,0.000876899
223,0.176666667,61.98445421,324.1041058,0.000740273
224,0.177333333,32.15149371,353.9370663,0.000808413
225,0.178,-3.369153364,389.4577134,0.000889544
226,0.178666667,56.91664209,329.1719179,0.000751848
227,0.179333333,26.55010564,359.5384544,0.000821207
228,0.18,49.13153733,336.9570227,0.00076963
229,0.180666667,21.7036819,364.3848781,0.000832277
230,0.181333333,60.5468268,325.5417332,0.000743557
231,0.182,43.40122272,342.6873373,0.000782718
232,0.182666667,14.24619455,371.8423655,0.00084931
233,0.183333333,44.68456882,341.4039912,0.000779787
234,0.184,23.67121817,362.4173418,0.000827783
235,0.184666667,1.965102903,384.1234571,0.000877361
236,0.185333333,27.65600668,358.4325533,0.000818681
237,0.186,57.76252021,328.3260398,0.000749916
238,0.186666667,42.56146799,343.527092,0.000784636
239,0.187333333,19.6722978,366.4162622,0.000836916
240,0.188,8.392331604,377.6962284,0.000862681
241,0.188666667,20.12441411,365.9641459,0.000835884
242,0.189333333,37.02651481,349.0620452,0.000797278
243,0.19,24.12576558,361.9627944,0.000826744
244,0.190666667,16.02945179,370.0591082,0.000845237
245,0.191333333,12.48607921,373.6024808,0.00085333
246,0.192,89.69458215,296.3939779,0.000676981
247,0.192666667,19.07840769,367.0101523,0.000838273
248,0.193333333,3.038016056,383.0505439,0.00087491
249,0.194,-18.54922167,404.6377817,0.000924217
250,0.194666667,-15.41338507,401.5019451,0.000917054
251,0.195333333,37.21554297,348.873017,0.000796847
252,0.196,10.94359203,375.144968,0.000856853
253,0.196666667,-10.76671541,396.8552754,0.000906441
254,0.197333333,-4.785328092,390.8738881,0.000892779
255,0.198,4.119979648,381.9685804,0.000872439
256,0.198666667,58.18922153,327.8993385,0.000748941
257,0.199333333,29.04772426,357.0408357,0.000815502
258,0.2,18.53207302,367.556487,0.000839521
259,0.200666667,-13.89184182,399.9804018,0.000913579
260,0.201333333,16.78571364,369.3028464,0.00084351
261,0.202,4.938862167,381.1496978,0.000870568
262,0.202666667,48.93408466,337.1544753,0.000770081
263,0.203333333,-6.431058947,392.5196189,0.000896538
264,0.204,15.038044,371.050516,0.000847501
265,0.204666667,-17.30171727,403.3902773,0.000921367
266,0.205333333,-36.1252305,422.2137905,0.000964361
267,0.206,-8.071898229,394.1604582,0.000900286
268,0.206666667,39.41337833,346.6751817,0.000791827
269,0.207333333,27.88066946,358.2078905,0.000818168
270,0.208,10.47994816,375.6086118,0.000857912
271,0.208666667,55.88569773,330.2028623,0.000754203
272,0.209333333,64.25479457,321.8337654,0.000735087
273,0.21,8.442785895,377.6457741,0.000862565
274,0.210666667,82.65375861,303.4348014,0.000693063
275,0.211333333,38.79225925,347.2963008,0.000793245
276,0.212,83.67891442,302.4096456,0.000690721
277,0.212666667,68.16603434,317.9225257,0.000726154
278,0.213333333,120.843546,265.245014,0.000605835
279,0.214,80.95215236,305.1364076,0.00069695
280,0.214666667,48.84954425,337.2390157,0.000770274
281,0.215333333,77.04449562,309.0440644,0.000705875
282,0.216,138.7635493,247.3250107,0.000564905
283,0.216666667,128.8084242,257.2801358,0.000587643
284,0.217333333,136.0561022,250.0324578,0.000571089
285,0.218,210.0249968,176.0635632,0.00040214
286,0.218666667,172.0490577,214.0395023,0.000488879
287,0.219333333,293.2659378,92.82262223,0.000212012
288,0.22,231.9920183,154.0965417,0.000351966
289,0.220666667,206.1878133,179.9007467,0.000410904
290,0.221333333,262.6330284,123.4555316,0.00028198
291,0.222,292.0799043,94.0086557,0.000214721
292,0.222666667,283.3967816,102.6917784,0.000234554
293,0.223333333,399.0197032,-12.93114322,-2.95E-05
294,0.224,398.3558168,-12.26725681,-2.80E-05
295,0.224666667,512.9395248,-126.8509648,-0.000289735
296,0.225333333,544.3753616,-158.2868016,-0.000361536
297,0.226,580.6345651,-194.5460051,-0.000444355
298,0.226666667,580.931296,-194.842736,-0.000445032
299,0.227333333,665.4160518,-279.3274918,-0.000638
300,0.228,710.1280004,-324.0394404,-0.000740125
301,0.228666667,813.6854791,-427.5969191,-0.000976657
302,0.229333333,944.4596448,-558.3710848,-0.001275353
303,0.23,1026.963374,-640.8748139,-0.001463796
304,0.230666667,1126.868358,-740.7797979,-0.001691985
305,0.231333333,1254.686683,-868.5981227,-0.001983929
306,0.232,1371.83742,-985.7488598,-0.002251509
307,0.232666667,1680.693068,-1294.604508,-0.002956953
308,0.233333333,1670.59485,-1284.50629,-0.002933888
309,0.234,1813.524816,-1427.436256,-0.003260349
310,0.234666667,2188.354435,-1802.265875,-0.004116482
311,0.235333333,2058.823204,-1672.734644,-0.003820625
312,0.236,2334.852473,-1948.763913,-0.004451092
313,0.236666667,2462.281734,-2076.193174,-0.004742148
314,0.237333333,2828.637776,-2442.549216,-0.005578927
315,0.238,3047.433823,-2661.345263,-0.00607867
316,0.238666667,3309.099809,-2923.011249,-0.00667633
317,0.239333333,3389.697689,-3003.609129,-0.006860421
318,0.24,-81895.35674,82281.4453,0.187935683
319,0.240666667,3429.437186,-3043.348626,-0.006951188
320,0.241333333,3070.580633,-2684.492073,-0.006131539
321,0.242,2806.955206,-2420.866646,-0.005529402
322,0.242666667,2784.900017,-2398.811457,-0.005479027
323,0.243333333,2554.261761,-2168.173201,-0.004952236
324,0.244,2367.169214,-1981.080654,-0.004524905
325,0.244666667,2118.916142,-1732.827582,-0.003957881
326,0.245333333,1971.974128,-1585.885568,-0.003622256
327,0.246,1777.498537,-1391.409977,-0.003178063
328,0.246666667,1626.897707,-1240.809147,-0.002834081
329,0.247333333,1545.507726,-1159.419166,-0.002648182
330,0.248,1334.56798,-948.4794195,-0.002166383
331,0.248666667,1173.827601,-787.7390414,-0.001799243
332,0.249333333,1131.741516,-745.6529558,-0.001703115
333,0.25,990.309572,-604.221012,-0.001380076
334,0.250666667,970.1698496,-584.0812896,-0.001334076
335,0.251333333,923.1970681,-537.1085081,-0.001226788
336,0.252,872.8019277,-486.7133677,-0.001111682
337,0.252666667,835.4155951,-449.3270351,-0.001026289
338,0.253333333,753.5167563,-367.4281963,-0.000839228
339,0.254,739.0885426,-352.9999826,-0.000806273
340,0.254666667,603.5504647,-217.4619047,-0.000496696
341,0.255333333,592.413987,-206.325427,-0.000471259
342,0.256,485.9698004,-99.8812404,-0.000228135
343,0.256666667,470.2891247,-84.20056471,-0.000192319
344,0.257333333,518.2720326,-132.1834726,-0.000301915
345,0.258,388.3343195,-2.245759497,-5.13E-06
346,0.258666667,403.3366417,-17.24808167,-3.94E-05
347,0.259333333,349.4893443,36.59921573,8.36E-05
348,0.26,333.4791715,52.60938845,0.000120163
349,0.260666667,334.9910717,51.09748829,0.00011671
350,0.261333333,336.3076658,49.78089415,0.000113703
351,0.262,310.008196,76.08036397,0.000173772
352,0.262666667,296.2130898,89.87547017,0.000205281
353,0.263333333,257.9477396,128.1408204,0.000292681
354,0.264,290.8654135,95.22314646,0.000217495
355,0.264666667,281.9821971,104.1063629,0.000237785
356,0.265333333,191.7579562,194.3306038,0.000443863
357,0.266,254.6392869,131.4492731,0.000300238
358,0.266666667,212.1950662,173.8934938,0.000397183
359,0.267333333,206.5043451,179.5842149,0.000410181
360,0.268,190.9866375,195.1019225,0.000445624
361,0.268666667,163.0243041,223.0642559,0.000509492
362,0.269333333,170.0047234,216.0838366,0.000493548
363,0.27,137.8489485,248.2396115,0.000566994
364,0.270666667,156.7771917,229.3113683,0.000523761
365,0.271333333,160.1100881,225.9784719,0.000516148
366,0.272,143.9985055,242.0900545,0.000552948
367,0.272666667,165.2707108,220.8178492,0.000504361
368,0.273333333,158.8317411,227.2568189,0.000519068
369,0.274,158.897302,227.191258,0.000518918
370,0.274666667,133.966219,252.122341,0.000575862
371,0.275333333,134.2909204,251.7976396,0.000575121
372,0.276,118.1819344,267.9066256,0.000611915
373,0.276666667,143.3796911,242.7088689,0.000554361
374,0.277333333,101.8982407,284.1903193,0.000649107
375,0.278,158.9936523,227.0949077,0.000518698
376,0.278666667,106.2389399,279.8496201,0.000639193
377,0.279333333,172.3268579,213.7617021,0.000488244
378,0.28,124.0403384,262.0482216,0.000598534
379,0.280666667,83.57694391,302.5116161,0.000690954
380,0.281333333,152.9475382,233.1410218,0.000532508
381,0.282,120.070501,266.018059,0.000607601
382,0.282666667,124.5139231,261.5746369,0.000597452
